n_communities,pref_attachment,network,threshold_idx,threshold_value,median_final_adoption,internal_variance_adoption,ratio
89.0,0.33,oplniv,3,0.3,87.45,2.3474999999999993,0.3783858877361693
56.0,0.33,etngrp,0,0.05,8590.15,0.22749999999999995,0.45812543304486925
56.0,0.33,etngrp,1,0.13333333333333333,4638.35,13916302.9275,0.45812543304486925
56.0,0.33,etngrp,2,0.21666666666666667,93.65,13.727500000000001,0.45812543304486925
56.0,0.33,etngrp,3,0.3,88.8,5.459999999999999,0.45812543304486925
56.0,0.33,etngrp_geslacht,0,0.05,8592.05,0.047499999999999994,0.23144591647407312
56.0,0.33,etngrp_geslacht,1,0.13333333333333333,4316.1,14655652.689999998,0.23144591647407312
56.0,0.33,etngrp_geslacht,2,0.21666666666666667,93.8,8.359999999999998,0.23144591647407312
56.0,0.33,etngrp_geslacht,3,0.3,89.2,5.0600000000000005,0.23144591647407312
56.0,0.33,etngrp_geslacht_lft,0,0.05,7998.6,5.24,0.0470804056787586
56.0,0.33,etngrp_geslacht_lft,1,0.13333333333333333,3660.7,15396562.209999999,0.0470804056787586
56.0,0.33,etngrp_geslacht_lft,2,0.21666666666666667,92.8,8.559999999999997,0.0470804056787586
56.0,0.33,etngrp_geslacht_lft,3,0.3,90.5,5.55,0.0470804056787586
56.0,0.33,etngrp_geslacht_lft_oplniv,0,0.05,7966.2,5.06,0.0358351895167103
56.0,0.33,etngrp_geslacht_lft_oplniv,1,0.13333333333333333,2858.2,14047538.959999999,0.0358351895167103
56.0,0.33,etngrp_geslacht_lft_oplniv,2,0.21666666666666667,91.25,12.6875,0.0358351895167103
56.0,0.33,etngrp_geslacht_lft_oplniv,3,0.3,88.2,1.2600000000000002,0.0358351895167103
56.0,0.33,etngrp_geslacht_oplniv,0,0.05,8595.0,0.0,0.1060721609694625
56.0,0.33,etngrp_geslacht_oplniv,1,0.13333333333333333,6235.45,12621737.3475,0.1060721609694625
56.0,0.33,etngrp_geslacht_oplniv,2,0.21666666666666667,93.45,15.347500000000002,0.1060721609694625
56.0,0.33,etngrp_geslacht_oplniv,3,0.3,89.2,3.8600000000000008,0.1060721609694625
56.0,0.33,etngrp_lft,0,0.05,8013.9,3.6900000000000004,0.08637181639362558
56.0,0.33,etngrp_lft,1,0.13333333333333333,4066.7,15580424.809999999,0.08637181639362558
56.0,0.33,etngrp_lft,2,0.21666666666666667,93.95,7.047499999999999,0.08637181639362558
56.0,0.33,etngrp_lft,3,0.3,90.3,5.410000000000001,0.08637181639362558
56.0,0.33,etngrp_lft_oplniv,0,0.05,8001.8,3.9599999999999986,0.06990681106920812
56.0,0.33,etngrp_lft_oplniv,1,0.13333333333333333,4057.5,15559105.55,0.06990681106920812
56.0,0.33,etngrp_lft_oplniv,2,0.21666666666666667,93.45,8.947500000000003,0.06990681106920812
56.0,0.33,etngrp_lft_oplniv,3,0.3,89.8,2.7599999999999993,0.06990681106920812
56.0,0.33,etngrp_oplniv,0,0.05,8592.1,0.09000000000000001,0.2076092668114412
56.0,0.33,etngrp_oplniv,1,0.13333333333333333,5753.5,13851829.45,0.2076092668114412
56.0,0.33,etngrp_oplniv,2,0.21666666666666667,92.95,20.747500000000002,0.2076092668114412
56.0,0.33,etngrp_oplniv,3,0.3,88.8,3.560000000000001,0.2076092668114412
56.0,0.33,geslacht,0,0.05,8597.1,0.09,0.5047082730751882
56.0,0.33,geslacht,1,0.13333333333333333,2213.75,10424123.3875,0.5047082730751882
56.0,0.33,geslacht,2,0.21666666666666667,91.05,12.2475,0.5047082730751882
56.0,0.33,geslacht,3,0.3,87.6,3.8400000000000007,0.5047082730751882
56.0,0.33,geslacht_lft,0,0.05,7989.35,6.1275,0.10241017079987165
56.0,0.33,geslacht_lft,1,0.13333333333333333,3658.75,15336301.7875,0.10241017079987165
56.0,0.33,geslacht_lft,2,0.21666666666666667,94.3,13.51,0.10241017079987165
56.0,0.33,geslacht_lft,3,0.3,91.25,6.7875,0.10241017079987165
56.0,0.33,geslacht_lft_oplniv,0,0.05,8002.2,4.659999999999999,0.09310987830567272
56.0,0.33,geslacht_lft_oplniv,1,0.13333333333333333,5241.3,14154174.91,0.09310987830567272
56.0,0.33,geslacht_lft_oplniv,2,0.21666666666666667,93.0,9.5,0.09310987830567272
56.0,0.33,geslacht_lft_oplniv,3,0.3,90.35,4.6275,0.09310987830567272
56.0,0.33,geslacht_oplniv,0,0.05,8601.0,0.0,0.19038745018530834
56.0,0.33,geslacht_oplniv,1,0.13333333333333333,6715.5,11011472.05,0.19038745018530834
56.0,0.33,geslacht_oplniv,2,0.21666666666666667,92.25,24.2875,0.19038745018530834
56.0,0.33,geslacht_oplniv,3,0.3,87.5,1.75,0.19038745018530834
56.0,0.33,lft,0,0.05,7996.05,8.147500000000003,0.1923835254618758
56.0,0.33,lft,1,0.13333333333333333,4451.65,15358047.527499998,0.1923835254618758
56.0,0.33,lft,2,0.21666666666666667,93.9,14.489999999999998,0.1923835254618758
56.0,0.33,lft,3,0.3,92.1,8.889999999999997,0.1923835254618758
56.0,0.33,lft_oplniv,0,0.05,7996.25,4.0875,0.18090463945091073
56.0,0.33,lft_oplniv,1,0.13333333333333333,6026.4,11630892.54,0.18090463945091073
56.0,0.33,lft_oplniv,2,0.21666666666666667,95.25,10.5875,0.18090463945091073
56.0,0.33,lft_oplniv,3,0.3,90.55,8.047500000000001,0.18090463945091073
56.0,0.33,oplniv,0,0.05,8601.0,0.0,0.3783858877361693
56.0,0.33,oplniv,1,0.13333333333333333,6990.45,8480473.8475,0.3783858877361693
56.0,0.33,oplniv,2,0.21666666666666667,89.45,3.5474999999999994,0.3783858877361693
56.0,0.33,oplniv,3,0.3,87.15,2.4274999999999993,0.3783858877361693
78.0,0.0,etngrp,0,0.05,8601.0,0.0,0.45812543304486925
78.0,0.0,etngrp,1,0.13333333333333333,5706.7,4349407.610000001,0.45812543304486925
78.0,0.0,etngrp,2,0.21666666666666667,90.6,19.94,0.45812543304486925
78.0,0.0,etngrp,3,0.3,87.05,1.5475,0.45812543304486925
78.0,0.0,etngrp_geslacht,0,0.05,8601.0,0.0,0.23144591647407312
78.0,0.0,etngrp_geslacht,1,0.13333333333333333,3416.3,7524812.109999999,0.23144591647407312
78.0,0.0,etngrp_geslacht,2,0.21666666666666667,88.2,2.8599999999999994,0.23144591647407312
78.0,0.0,etngrp_geslacht,3,0.3,86.3,0.20999999999999996,0.23144591647407312
78.0,0.0,etngrp_geslacht_lft,0,0.05,7992.4,3.6400000000000006,0.0470804056787586
78.0,0.0,etngrp_geslacht_lft,1,0.13333333333333333,4440.35,15416614.627500001,0.0470804056787586
78.0,0.0,etngrp_geslacht_lft,2,0.21666666666666667,89.55,4.4475,0.0470804056787586
78.0,0.0,etngrp_geslacht_lft,3,0.3,87.85,1.1275,0.0470804056787586
78.0,0.0,etngrp_geslacht_lft_oplniv,0,0.05,7971.25,4.6875,0.0358351895167103
78.0,0.0,etngrp_geslacht_lft_oplniv,1,0.13333333333333333,4822.6,14871002.839999998,0.0358351895167103
78.0,0.0,etngrp_geslacht_lft_oplniv,2,0.21666666666666667,89.15,3.8275000000000006,0.0358351895167103
78.0,0.0,etngrp_geslacht_lft_oplniv,3,0.3,88.65,2.5274999999999994,0.0358351895167103
78.0,0.0,etngrp_geslacht_oplniv,0,0.05,8601.0,0.0,0.1060721609694625
78.0,0.0,etngrp_geslacht_oplniv,1,0.13333333333333333,7346.45,1446825.7475,0.1060721609694625
78.0,0.0,etngrp_geslacht_oplniv,2,0.21666666666666667,88.35,3.6275,0.1060721609694625
78.0,0.0,etngrp_geslacht_oplniv,3,0.3,86.3,0.30999999999999994,0.1060721609694625
78.0,0.0,etngrp_lft,0,0.05,8031.15,4.227500000000001,0.08637181639362558
78.0,0.0,etngrp_lft,1,0.13333333333333333,3672.25,15555501.8875,0.08637181639362558
78.0,0.0,etngrp_lft,2,0.21666666666666667,90.8,5.560000000000001,0.08637181639362558
78.0,0.0,etngrp_lft,3,0.3,88.8,1.56,0.08637181639362558
78.0,0.0,etngrp_lft_oplniv,0,0.05,8006.1,3.5900000000000007,0.06990681106920812
78.0,0.0,etngrp_lft_oplniv,1,0.13333333333333333,4844.0,14998957.2,0.06990681106920812
78.0,0.0,etngrp_lft_oplniv,2,0.21666666666666667,90.45,6.2475,0.06990681106920812
78.0,0.0,etngrp_lft_oplniv,3,0.3,89.85,2.6274999999999995,0.06990681106920812
78.0,0.0,etngrp_oplniv,0,0.05,8600.0,0.0,0.2076092668114412
78.0,0.0,etngrp_oplniv,1,0.13333333333333333,7625.35,1116328.7275000003,0.2076092668114412
78.0,0.0,etngrp_oplniv,2,0.21666666666666667,89.0,11.8,0.2076092668114412
78.0,0.0,etngrp_oplniv,3,0.3,86.95,1.7474999999999994,0.2076092668114412
78.0,0.0,geslacht,0,0.05,8601.0,0.0,0.5047082730751882
78.0,0.0,geslacht,1,0.13333333333333333,5948.3,6791061.409999999,0.5047082730751882
78.0,0.0,geslacht,2,0.21666666666666667,88.55,5.847499999999998,0.5047082730751882
78.0,0.0,geslacht,3,0.3,86.9,0.7899999999999998,0.5047082730751882
78.0,0.0,geslacht_lft,0,0.05,8044.3,3.21,0.10241017079987165
78.0,0.0,geslacht_lft,1,0.13333333333333333,5425.75,12220155.2875,0.10241017079987165
78.0,0.0,geslacht_lft,2,0.21666666666666667,90.3,7.210000000000001,0.10241017079987165
78.0,0.0,geslacht_lft,3,0.3,88.35,2.8274999999999997,0.10241017079987165
78.0,0.0,geslacht_lft_oplniv,0,0.05,8008.0,6.4,0.09310987830567272
78.0,0.0,geslacht_lft_oplniv,1,0.13333333333333333,7217.9,5612010.69,0.09310987830567272
78.0,0.0,geslacht_lft_oplniv,2,0.21666666666666667,90.45,7.547500000000001,0.09310987830567272
78.0,0.0,geslacht_lft_oplniv,3,0.3,88.05,2.3474999999999997,0.09310987830567272
78.0,0.0,geslacht_oplniv,0,0.05,8601.0,0.0,0.19038745018530834
78.0,0.0,geslacht_oplniv,1,0.13333333333333333,6988.7,1167219.41,0.19038745018530834
78.0,0.0,geslacht_oplniv,2,0.21666666666666667,90.4,6.539999999999999,0.19038745018530834
78.0,0.0,geslacht_oplniv,3,0.3,87.25,0.9875,0.19038745018530834
78.0,0.0,lft,0,0.05,8053.35,6.327500000000001,0.1923835254618758
78.0,0.0,lft,1,0.13333333333333333,7298.0,2908365.7,0.1923835254618758
78.0,0.0,lft,2,0.21666666666666667,90.6,3.9400000000000004,0.1923835254618758
78.0,0.0,lft,3,0.3,88.75,4.2875,0.1923835254618758
78.0,0.0,lft_oplniv,0,0.05,8032.45,3.847499999999999,0.18090463945091073
78.0,0.0,lft_oplniv,1,0.13333333333333333,6842.35,8007969.827499998,0.18090463945091073
