n_communities,pref_attachment,network,threshold_idx,threshold_value,median_final_adoption,internal_variance_adoption,ratio
89.0,0.33,oplniv,2,0.21666666666666667,3098.25,44076.2875,0.3783858877361693
89.0,0.33,oplniv,3,0.3,233.2,19133.060000000005,0.3783858877361693
56.0,0.33,etngrp,0,0.05,8590.0,0.0,0.45812543304486925
56.0,0.33,etngrp,1,0.13333333333333333,8129.85,67158.72750000001,0.45812543304486925
56.0,0.33,etngrp,2,0.21666666666666667,2223.75,761661.6875,0.45812543304486925
56.0,0.33,etngrp,3,0.3,149.4,12746.140000000001,0.45812543304486925
56.0,0.33,etngrp_geslacht,0,0.05,8592.0,0.0,0.23144591647407312
56.0,0.33,etngrp_geslacht,1,0.13333333333333333,7511.9,6239666.99,0.23144591647407312
56.0,0.33,etngrp_geslacht,2,0.21666666666666667,2202.65,1170324.0275,0.23144591647407312
56.0,0.33,etngrp_geslacht,3,0.3,124.0,7912.2,0.23144591647407312
56.0,0.33,etngrp_geslacht_lft,0,0.05,6793.35,8141650.327499998,0.0470804056787586
56.0,0.33,etngrp_geslacht_lft,1,0.13333333333333333,7192.95,5747127.2475000005,0.0470804056787586
56.0,0.33,etngrp_geslacht_lft,2,0.21666666666666667,4671.9,3879710.09,0.0470804056787586
56.0,0.33,etngrp_geslacht_lft,3,0.3,134.55,24897.5475,0.0470804056787586
56.0,0.33,etngrp_geslacht_lft_oplniv,0,0.05,7959.0,0.0,0.0358351895167103
56.0,0.33,etngrp_geslacht_lft_oplniv,1,0.13333333333333333,6367.45,10132125.647499999,0.0358351895167103
56.0,0.33,etngrp_geslacht_lft_oplniv,2,0.21666666666666667,5572.1,5749379.590000001,0.0358351895167103
56.0,0.33,etngrp_geslacht_lft_oplniv,3,0.3,146.4,26313.139999999996,0.0358351895167103
56.0,0.33,etngrp_geslacht_oplniv,0,0.05,8595.0,0.0,0.1060721609694625
56.0,0.33,etngrp_geslacht_oplniv,1,0.13333333333333333,8145.5,3493757.25,0.1060721609694625
56.0,0.33,etngrp_geslacht_oplniv,2,0.21666666666666667,3602.05,1483861.1475000002,0.1060721609694625
56.0,0.33,etngrp_geslacht_oplniv,3,0.3,207.5,28714.05,0.1060721609694625
56.0,0.33,etngrp_lft,0,0.05,7607.65,3045322.3275000006,0.08637181639362558
56.0,0.33,etngrp_lft,1,0.13333333333333333,6006.5,12018007.35,0.08637181639362558
56.0,0.33,etngrp_lft,2,0.21666666666666667,3665.5,7230861.75,0.08637181639362558
56.0,0.33,etngrp_lft,3,0.3,126.0,19229.5,0.08637181639362558
56.0,0.33,etngrp_lft_oplniv,0,0.05,7596.25,3036201.1875,0.06990681106920812
56.0,0.33,etngrp_lft_oplniv,1,0.13333333333333333,7996.0,0.0,0.06990681106920812
56.0,0.33,etngrp_lft_oplniv,2,0.21666666666666667,5373.1,7363991.889999999,0.06990681106920812
56.0,0.33,etngrp_lft_oplniv,3,0.3,207.25,37575.6875,0.06990681106920812
56.0,0.33,etngrp_oplniv,0,0.05,8162.45,3505750.8475,0.2076092668114412
56.0,0.33,etngrp_oplniv,1,0.13333333333333333,8525.8,44594.85999999999,0.2076092668114412
56.0,0.33,etngrp_oplniv,2,0.21666666666666667,3397.6,2040912.3399999999,0.2076092668114412
56.0,0.33,etngrp_oplniv,3,0.3,186.6,23396.04,0.2076092668114412
56.0,0.33,geslacht,0,0.05,8597.0,0.0,0.5047082730751882
56.0,0.33,geslacht,1,0.13333333333333333,8031.75,26875.9875,0.5047082730751882
56.0,0.33,geslacht,2,0.21666666666666667,1998.05,1307797.9475000002,0.5047082730751882
56.0,0.33,geslacht,3,0.3,214.85,19236.527499999997,0.5047082730751882
56.0,0.33,geslacht_lft,0,0.05,7183.9,5732672.49,0.10241017079987165
56.0,0.33,geslacht_lft,1,0.13333333333333333,7582.95,3025577.1475000004,0.10241017079987165
56.0,0.33,geslacht_lft,2,0.21666666666666667,4760.35,5048686.4275,0.10241017079987165
56.0,0.33,geslacht_lft,3,0.3,144.3,15598.210000000001,0.10241017079987165
56.0,0.33,geslacht_lft_oplniv,0,0.05,7996.0,0.0,0.09310987830567272
56.0,0.33,geslacht_lft_oplniv,1,0.13333333333333333,7196.5,5752802.25,0.09310987830567272
56.0,0.33,geslacht_lft_oplniv,2,0.21666666666666667,4840.9,7083866.590000001,0.09310987830567272
56.0,0.33,geslacht_lft_oplniv,3,0.3,185.15,25409.627500000002,0.09310987830567272
56.0,0.33,geslacht_oplniv,0,0.05,8601.0,0.0,0.19038745018530834
56.0,0.33,geslacht_oplniv,1,0.13333333333333333,8172.1,3495148.9899999984,0.19038745018530834
56.0,0.33,geslacht_oplniv,2,0.21666666666666667,3021.8,2315763.36,0.19038745018530834
56.0,0.33,geslacht_oplniv,3,0.3,125.35,24477.927499999998,0.19038745018530834
56.0,0.33,lft,0,0.05,7590.55,3031645.7475,0.1923835254618758
