geslacht,lft,etngrp,oplniv,com,n
Man,"[20,30)",Marokkaans,2,0,600
Man,"[20,30)",Marokkaans,2,1,900
Man,"[20,30)",Marokkaans,2,2,700
Man,"[20,30)",Marokkaans,2,3,600
Man,"[20,30)",Marokkaans,2,4,1000
Man,"[20,30)",Marokkaans,3,0,200
Man,"[20,30)",Marokkaans,3,2,200
Man,"[20,30)",Marokkaans,3,3,200
Man,"[40,50)",Autochtoon,1,0,400
Man,"[40,50)",Autochtoon,1,1,700
Man,"[40,50)",Autochtoon,1,2,200
Man,"[40,50)",Autochtoon,1,3,500
Man,"[40,50)",Autochtoon,1,4,700
Man,"[40,50)",Autochtoon,2,0,1400
Man,"[40,50)",Autochtoon,2,1,1100
Man,"[40,50)",Autochtoon,2,2,1400
Man,"[40,50)",Autochtoon,2,3,1400
Man,"[40,50)",Autochtoon,2,4,2100
Man,"[40,50)",Autochtoon,3,0,2900
Man,"[40,50)",Autochtoon,3,1,2600
Man,"[40,50)",Autochtoon,3,2,3400
Man,"[40,50)",Autochtoon,3,3,2600
Man,"[40,50)",Autochtoon,3,4,4300
Man,"[20,30)",Turks,1,0,200
Man,"[20,30)",Turks,1,1,200
Man,"[20,30)",Turks,1,2,100
Man,"[20,30)",Turks,1,3,400
Man,"[20,30)",Turks,2,0,400
Man,"[20,30)",Turks,2,1,600
Man,"[20,30)",Turks,2,2,800
Man,"[20,30)",Turks,2,3,200
Man,"[20,30)",Turks,2,4,300
Man,"[20,30)",Turks,3,0,200
Man,"[20,30)",Turks,3,1,100
Man,"[20,30)",Turks,3,2,400
Man,"[60,70)",Overig,1,0,500
Man,"[60,70)",Overig,1,1,600
Man,"[60,70)",Overig,1,2,600
Man,"[60,70)",Overig,1,3,900
Man,"[60,70)",Overig,1,4,900
Man,"[60,70)",Overig,2,0,900
Man,"[60,70)",Overig,2,1,1100
Man,"[60,70)",Overig,2,2,700
Man,"[60,70)",Overig,2,3,400
Man,"[60,70)",Overig,2,4,400
Man,"[60,70)",Overig,3,0,900
Man,"[60,70)",Overig,3,1,800
Man,"[60,70)",Overig,3,2,600
Man,"[60,70)",Overig,3,3,500
Man,"[60,70)",Overig,3,4,600
Vrouw,"[30,40)",Overig,1,0,600
Vrouw,"[30,40)",Overig,1,1,500
Vrouw,"[30,40)",Overig,1,2,300
Vrouw,"[30,40)",Overig,1,3,200
Vrouw,"[30,40)",Overig,1,4,700
Vrouw,"[30,40)",Overig,2,0,1800
Vrouw,"[30,40)",Overig,2,1,1600
Vrouw,"[30,40)",Overig,2,2,2400
Vrouw,"[30,40)",Overig,2,3,1000
Vrouw,"[30,40)",Overig,2,4,2500
Vrouw,"[30,40)",Overig,3,0,3500
Vrouw,"[30,40)",Overig,3,1,4500
Vrouw,"[30,40)",Overig,3,2,4100
Vrouw,"[30,40)",Overig,3,3,4600
Vrouw,"[30,40)",Overig,3,4,2900
Man,"[0,20)",Marokkaans,1,0,2800
Man,"[0,20)",Marokkaans,1,1,2700
Man,"[0,20)",Marokkaans,1,2,2400
Man,"[0,20)",Marokkaans,1,3,2500
Man,"[0,20)",Marokkaans,1,4,1900
Man,"[0,20)",Marokkaans,2,1,100
Man,"[0,20)",Marokkaans,2,2,200
Man,"[0,20)",Marokkaans,2,3,100
Man,"[0,20)",Marokkaans,2,4,100
Vrouw,"[50,60)",Overig,1,0,1100
Vrouw,"[50,60)",Overig,1,1,400
Vrouw,"[50,60)",Overig,1,2,700
Vrouw,"[50,60)",Overig,1,3,400
Vrouw,"[50,60)",Overig,1,4,500
Vrouw,"[50,60)",Overig,2,0,600
Vrouw,"[50,60)",Overig,2,1,1000
Vrouw,"[50,60)",Overig,2,2,800
Vrouw,"[50,60)",Overig,2,3,1200
Vrouw,"[50,60)",Overig,2,4,700
Vrouw,"[50,60)",Overig,3,0,1600
Vrouw,"[50,60)",Overig,3,1,1400
Vrouw,"[50,60)",Overig,3,2,1200
Vrouw,"[50,60)",Overig,3,3,1300
Vrouw,"[50,60)",Overig,3,4,1800
Vrouw,"[40,50)",Overig,1,0,500
Vrouw,"[40,50)",Overig,1,1,700
Vrouw,"[40,50)",Overig,1,2,700
Vrouw,"[40,50)",Overig,1,3,900
Vrouw,"[40,50)",Overig,1,4,700
Vrouw,"[40,50)",Overig,2,0,900
Vrouw,"[40,50)",Overig,2,1,1100
Vrouw,"[40,50)",Overig,2,2,700
Vrouw,"[40,50)",Overig,2,3,900
Vrouw,"[40,50)",Overig,2,4,1500
Vrouw,"[40,50)",Overig,3,0,1700
Vrouw,"[40,50)",Overig,3,1,2300
Vrouw,"[40,50)",Overig,3,2,2400
Vrouw,"[40,50)",Overig,3,3,2400
Vrouw,"[40,50)",Overig,3,4,2300
Man,"[0,20)",Surinaams,1,0,1200
Man,"[0,20)",Surinaams,1,1,1000
Man,"[0,20)",Surinaams,1,2,1800
Man,"[0,20)",Surinaams,1,3,600
Man,"[0,20)",Surinaams,1,4,800
Man,"[0,20)",Surinaams,2,0,200
Man,"[0,20)",Surinaams,2,3,100
Vrouw,"[0,20)",Overig,1,0,3500
Vrouw,"[0,20)",Overig,1,1,5000
Vrouw,"[0,20)",Overig,1,2,5000
Vrouw,"[0,20)",Overig,1,3,5600
Vrouw,"[0,20)",Overig,1,4,5600
Vrouw,"[0,20)",Overig,2,0,300
Vrouw,"[0,20)",Overig,2,1,200
Vrouw,"[0,20)",Overig,2,2,300
Vrouw,"[0,20)",Overig,2,3,200
Vrouw,"[0,20)",Overig,2,4,700
Vrouw,"[30,40)",Autochtoon,1,0,400
Vrouw,"[30,40)",Autochtoon,1,1,500
Vrouw,"[30,40)",Autochtoon,1,2,400
Vrouw,"[30,40)",Autochtoon,1,3,300
Vrouw,"[30,40)",Autochtoon,1,4,500
Vrouw,"[30,40)",Autochtoon,2,0,1300
Vrouw,"[30,40)",Autochtoon,2,1,800
Vrouw,"[30,40)",Autochtoon,2,2,600
Vrouw,"[30,40)",Autochtoon,2,3,500
Vrouw,"[30,40)",Autochtoon,2,4,1500
Vrouw,"[30,40)",Autochtoon,3,0,5300
Vrouw,"[30,40)",Autochtoon,3,1,3500
Vrouw,"[30,40)",Autochtoon,3,2,4700
Vrouw,"[30,40)",Autochtoon,3,3,3700
Vrouw,"[30,40)",Autochtoon,3,4,5900
Man,"[0,20)",Overig,1,0,6000
Man,"[0,20)",Overig,1,1,4800
Man,"[0,20)",Overig,1,2,5500
Man,"[0,20)",Overig,1,3,4200
Man,"[0,20)",Overig,1,4,5700
Man,"[0,20)",Overig,2,0,200
Man,"[0,20)",Overig,2,1,400
Man,"[0,20)",Overig,2,3,200
Man,"[0,20)",Overig,2,4,100
Vrouw,"[50,60)",Marokkaans,1,0,700
Vrouw,"[50,60)",Marokkaans,1,1,1000
Vrouw,"[50,60)",Marokkaans,1,2,400
Vrouw,"[50,60)",Marokkaans,1,3,600
Vrouw,"[50,60)",Marokkaans,1,4,300
Vrouw,"[50,60)",Marokkaans,2,0,100
Vrouw,"[50,60)",Marokkaans,2,1,100
Vrouw,"[50,60)",Marokkaans,2,2,100
Vrouw,"[50,60)",Marokkaans,2,3,200
Vrouw,"[70,80)",Overig,1,1,400
Vrouw,"[70,80)",Overig,1,2,500
Vrouw,"[70,80)",Overig,1,3,200
Vrouw,"[70,80)",Overig,1,4,400
Vrouw,"[70,80)",Overig,2,0,100
Vrouw,"[70,80)",Overig,2,1,100
Vrouw,"[70,80)",Overig,2,2,100
Vrouw,"[70,80)",Overig,2,3,500
Vrouw,"[70,80)",Overig,2,4,700
Vrouw,"[70,80)",Overig,3,0,200
Vrouw,"[70,80)",Overig,3,1,100
Vrouw,"[70,80)",Overig,3,2,600
Vrouw,"[70,80)",Overig,3,3,500
Vrouw,"[70,80)",Overig,3,4,300
Man,"[20,30)",Overig,1,0,500
Man,"[20,30)",Overig,1,1,700
Man,"[20,30)",Overig,1,2,400
Man,"[20,30)",Overig,1,3,200
Man,"[20,30)",Overig,1,4,100
Man,"[20,30)",Overig,2,0,2000
Man,"[20,30)",Overig,2,1,1900
Man,"[20,30)",Overig,2,2,2300
Man,"[20,30)",Overig,2,3,1700
Man,"[20,30)",Overig,2,4,1600
Man,"[20,30)",Overig,3,0,2900
Man,"[20,30)",Overig,3,1,4900
Man,"[20,30)",Overig,3,2,2400
Man,"[20,30)",Overig,3,3,4100
Man,"[20,30)",Overig,3,4,3000
Vrouw,"[70,80)",Autochtoon,1,0,1100
Vrouw,"[70,80)",Autochtoon,1,1,1500
Vrouw,"[70,80)",Autochtoon,1,2,1100
Vrouw,"[70,80)",Autochtoon,1,3,1500
Vrouw,"[70,80)",Autochtoon,1,4,1000
Vrouw,"[70,80)",Autochtoon,2,0,600
Vrouw,"[70,80)",Autochtoon,2,1,1200
Vrouw,"[70,80)",Autochtoon,2,2,1100
Vrouw,"[70,80)",Autochtoon,2,3,700
Vrouw,"[70,80)",Autochtoon,2,4,1100
Vrouw,"[70,80)",Autochtoon,3,0,800
Vrouw,"[70,80)",Autochtoon,3,1,1500
Vrouw,"[70,80)",Autochtoon,3,2,1500
Vrouw,"[70,80)",Autochtoon,3,3,1200
Vrouw,"[70,80)",Autochtoon,3,4,1200
Man,"[20,30)",Surinaams,1,1,300
Man,"[20,30)",Surinaams,1,2,300
Man,"[20,30)",Surinaams,1,3,100
Man,"[20,30)",Surinaams,1,4,400
Man,"[20,30)",Surinaams,2,0,200
Man,"[20,30)",Surinaams,2,1,600
Man,"[20,30)",Surinaams,2,2,700
Man,"[20,30)",Surinaams,2,3,800
Man,"[20,30)",Surinaams,2,4,1000
Man,"[20,30)",Surinaams,3,1,100
Man,"[20,30)",Surinaams,3,2,200
Man,"[20,30)",Surinaams,3,4,200
Vrouw,"[0,20)",Marokkaans,1,0,2000
Vrouw,"[0,20)",Marokkaans,1,1,3200
Vrouw,"[0,20)",Marokkaans,1,2,1700
Vrouw,"[0,20)",Marokkaans,1,3,2200
Vrouw,"[0,20)",Marokkaans,1,4,2500
Vrouw,"[0,20)",Marokkaans,2,1,100
Vrouw,"[0,20)",Marokkaans,2,2,300
Vrouw,"[0,20)",Marokkaans,2,3,100
Vrouw,"[0,20)",Marokkaans,2,4,200
Vrouw,"[40,50)",Surinaams,1,0,100
Vrouw,"[40,50)",Surinaams,1,1,300
Vrouw,"[40,50)",Surinaams,1,2,500
Vrouw,"[40,50)",Surinaams,1,3,200
Vrouw,"[40,50)",Surinaams,2,0,600
Vrouw,"[40,50)",Surinaams,2,1,600
Vrouw,"[40,50)",Surinaams,2,2,700
Vrouw,"[40,50)",Surinaams,2,3,500
Vrouw,"[40,50)",Surinaams,2,4,100
Vrouw,"[40,50)",Surinaams,3,0,600
Vrouw,"[40,50)",Surinaams,3,1,200
Vrouw,"[40,50)",Surinaams,3,2,200
Vrouw,"[40,50)",Surinaams,3,3,100
Vrouw,"[40,50)",Surinaams,3,4,200
Man,"[80,120]",Autochtoon,1,0,500
Man,"[80,120]",Autochtoon,1,1,300
Man,"[80,120]",Autochtoon,1,2,200
Man,"[80,120]",Autochtoon,1,3,300
Man,"[80,120]",Autochtoon,1,4,900
Man,"[80,120]",Autochtoon,2,0,400
Man,"[80,120]",Autochtoon,2,1,1000
Man,"[80,120]",Autochtoon,2,2,300
Man,"[80,120]",Autochtoon,2,3,600
Man,"[80,120]",Autochtoon,2,4,700
Man,"[80,120]",Autochtoon,3,1,200
Man,"[80,120]",Autochtoon,3,3,300
Man,"[80,120]",Autochtoon,3,4,300
Vrouw,"[50,60)",Surinaams,1,0,600
Vrouw,"[50,60)",Surinaams,1,1,400
Vrouw,"[50,60)",Surinaams,1,2,200
Vrouw,"[50,60)",Surinaams,1,3,400
Vrouw,"[50,60)",Surinaams,1,4,300
Vrouw,"[50,60)",Surinaams,2,0,200
Vrouw,"[50,60)",Surinaams,2,1,600
Vrouw,"[50,60)",Surinaams,2,2,1000
Vrouw,"[50,60)",Surinaams,2,3,400
Vrouw,"[50,60)",Surinaams,2,4,1000
Vrouw,"[50,60)",Surinaams,3,0,200
Vrouw,"[50,60)",Surinaams,3,1,200
Vrouw,"[50,60)",Surinaams,3,2,300
Vrouw,"[50,60)",Surinaams,3,3,100
Vrouw,"[50,60)",Surinaams,3,4,300
Man,"[40,50)",Marokkaans,1,0,400
Man,"[40,50)",Marokkaans,1,1,500
Man,"[40,50)",Marokkaans,1,2,500
Man,"[40,50)",Marokkaans,1,3,700
Man,"[40,50)",Marokkaans,1,4,700
Man,"[40,50)",Marokkaans,2,0,100
Man,"[40,50)",Marokkaans,2,1,900
Man,"[40,50)",Marokkaans,2,2,300
Man,"[40,50)",Marokkaans,2,3,500
Man,"[40,50)",Marokkaans,2,4,300
Man,"[40,50)",Marokkaans,3,0,100
Man,"[40,50)",Marokkaans,3,3,200
Man,"[40,50)",Marokkaans,3,4,400
Vrouw,"[30,40)",Turks,1,0,400
Vrouw,"[30,40)",Turks,1,1,300
Vrouw,"[30,40)",Turks,1,2,200
Vrouw,"[30,40)",Turks,1,3,200
Vrouw,"[30,40)",Turks,1,4,200
Vrouw,"[30,40)",Turks,2,0,500
Vrouw,"[30,40)",Turks,2,1,400
Vrouw,"[30,40)",Turks,2,2,300
Vrouw,"[30,40)",Turks,2,3,200
Vrouw,"[30,40)",Turks,2,4,200
Vrouw,"[30,40)",Turks,3,0,200
Vrouw,"[30,40)",Turks,3,1,100
Vrouw,"[30,40)",Turks,3,2,300
Vrouw,"[30,40)",Turks,3,3,200
Vrouw,"[30,40)",Turks,3,4,200
Man,"[60,70)",Marokkaans,1,0,400
Man,"[60,70)",Marokkaans,1,1,400
Man,"[60,70)",Marokkaans,1,2,100
Man,"[60,70)",Marokkaans,1,3,400
Man,"[60,70)",Marokkaans,1,4,700
Man,"[60,70)",Marokkaans,2,1,100
Man,"[60,70)",Marokkaans,2,2,100
Man,"[60,70)",Marokkaans,2,4,100
Man,"[30,40)",Marokkaans,1,0,300
Man,"[30,40)",Marokkaans,1,1,800
Man,"[30,40)",Marokkaans,1,2,300
Man,"[30,40)",Marokkaans,1,3,700
Man,"[30,40)",Marokkaans,1,4,300
Man,"[30,40)",Marokkaans,2,0,300
Man,"[30,40)",Marokkaans,2,1,500
Man,"[30,40)",Marokkaans,2,2,500
Man,"[30,40)",Marokkaans,2,3,600
Man,"[30,40)",Marokkaans,2,4,400
Man,"[30,40)",Marokkaans,3,1,300
Man,"[30,40)",Marokkaans,3,2,200
Man,"[30,40)",Marokkaans,3,3,300
Man,"[30,40)",Marokkaans,3,4,300
Vrouw,"[60,70)",Overig,1,0,500
Vrouw,"[60,70)",Overig,1,1,500
Vrouw,"[60,70)",Overig,1,2,700
Vrouw,"[60,70)",Overig,1,3,700
Vrouw,"[60,70)",Overig,1,4,600
Vrouw,"[60,70)",Overig,2,0,600
Vrouw,"[60,70)",Overig,2,1,600
Vrouw,"[60,70)",Overig,2,2,200
Vrouw,"[60,70)",Overig,2,3,600
Vrouw,"[60,70)",Overig,2,4,1100
Vrouw,"[60,70)",Overig,3,0,900
Vrouw,"[60,70)",Overig,3,1,900
Vrouw,"[60,70)",Overig,3,2,800
Vrouw,"[60,70)",Overig,3,3,600
Vrouw,"[60,70)",Overig,3,4,1000
Vrouw,"[20,30)",Surinaams,1,1,300
Vrouw,"[20,30)",Surinaams,1,2,100
Vrouw,"[20,30)",Surinaams,1,3,100
Vrouw,"[20,30)",Surinaams,1,4,100
Vrouw,"[20,30)",Surinaams,2,0,800
Vrouw,"[20,30)",Surinaams,2,1,700
Vrouw,"[20,30)",Surinaams,2,2,600
Vrouw,"[20,30)",Surinaams,2,3,800
Vrouw,"[20,30)",Surinaams,2,4,400
Vrouw,"[20,30)",Surinaams,3,0,300
Vrouw,"[20,30)",Surinaams,3,2,200
Vrouw,"[20,30)",Surinaams,3,3,300
Vrouw,"[20,30)",Surinaams,3,4,200
Man,"[50,60)",Overig,1,0,400
Man,"[50,60)",Overig,1,1,600
Man,"[50,60)",Overig,1,2,800
Man,"[50,60)",Overig,1,3,300
Man,"[50,60)",Overig,1,4,700
Man,"[50,60)",Overig,2,0,1800
Man,"[50,60)",Overig,2,1,900
Man,"[50,60)",Overig,2,2,1400
Man,"[50,60)",Overig,2,3,1100
Man,"[50,60)",Overig,2,4,400
Man,"[50,60)",Overig,3,0,1700
Man,"[50,60)",Overig,3,1,1500
Man,"[50,60)",Overig,3,2,1400
Man,"[50,60)",Overig,3,3,1700
Man,"[50,60)",Overig,3,4,1700
Vrouw,"[80,120]",Overig,1,0,300
Vrouw,"[80,120]",Overig,1,1,300
Vrouw,"[80,120]",Overig,1,2,100
Vrouw,"[80,120]",Overig,1,3,400
Vrouw,"[80,120]",Overig,1,4,300
Vrouw,"[80,120]",Overig,2,2,100
Vrouw,"[80,120]",Overig,2,4,100
Vrouw,"[80,120]",Overig,3,0,300
Vrouw,"[80,120]",Overig,3,1,100
Vrouw,"[80,120]",Overig,3,2,100
Vrouw,"[80,120]",Overig,3,3,100
Vrouw,"[80,120]",Overig,3,4,100
Man,"[60,70)",Surinaams,1,0,200
Man,"[60,70)",Surinaams,1,1,300
Man,"[60,70)",Surinaams,1,2,700
Man,"[60,70)",Surinaams,1,3,100
Man,"[60,70)",Surinaams,1,4,300
Man,"[60,70)",Surinaams,2,0,300
Man,"[60,70)",Surinaams,2,1,100
Man,"[60,70)",Surinaams,2,2,300
Man,"[60,70)",Surinaams,2,3,100
Man,"[60,70)",Surinaams,2,4,200
Man,"[60,70)",Surinaams,3,0,200
Man,"[60,70)",Surinaams,3,2,100
Man,"[60,70)",Surinaams,3,3,400
Man,"[60,70)",Surinaams,3,4,100
Man,"[30,40)",Autochtoon,1,0,700
Man,"[30,40)",Autochtoon,1,1,300
Man,"[30,40)",Autochtoon,1,2,600
Man,"[30,40)",Autochtoon,1,3,400
Man,"[30,40)",Autochtoon,1,4,500
Man,"[30,40)",Autochtoon,2,0,1500
Man,"[30,40)",Autochtoon,2,1,1600
Man,"[30,40)",Autochtoon,2,2,1200
Man,"[30,40)",Autochtoon,2,3,800
Man,"[30,40)",Autochtoon,2,4,1700
Man,"[30,40)",Autochtoon,3,0,5400
Man,"[30,40)",Autochtoon,3,1,4000
Man,"[30,40)",Autochtoon,3,2,3100
Man,"[30,40)",Autochtoon,3,3,4700
Man,"[30,40)",Autochtoon,3,4,5600
Man,"[70,80)",Autochtoon,1,0,1600
Man,"[70,80)",Autochtoon,1,1,600
Man,"[70,80)",Autochtoon,1,2,700
Man,"[70,80)",Autochtoon,1,3,900
Man,"[70,80)",Autochtoon,1,4,600
Man,"[70,80)",Autochtoon,2,0,1000
Man,"[70,80)",Autochtoon,2,1,1100
Man,"[70,80)",Autochtoon,2,2,900
Man,"[70,80)",Autochtoon,2,3,700
Man,"[70,80)",Autochtoon,2,4,600
Man,"[70,80)",Autochtoon,3,0,600
Man,"[70,80)",Autochtoon,3,1,1200
Man,"[70,80)",Autochtoon,3,2,1200
Man,"[70,80)",Autochtoon,3,3,1700
Man,"[70,80)",Autochtoon,3,4,1600
Man,"[50,60)",Turks,1,0,700
Man,"[50,60)",Turks,1,1,200
Man,"[50,60)",Turks,1,2,300
Man,"[50,60)",Turks,1,3,300
Man,"[50,60)",Turks,1,4,300
Man,"[50,60)",Turks,2,1,300
Man,"[50,60)",Turks,2,2,100
Man,"[50,60)",Turks,2,3,500
Man,"[50,60)",Turks,3,0,200
Vrouw,"[60,70)",Autochtoon,1,0,1300
Vrouw,"[60,70)",Autochtoon,1,1,1700
Vrouw,"[60,70)",Autochtoon,1,2,1000
Vrouw,"[60,70)",Autochtoon,1,3,1300
Vrouw,"[60,70)",Autochtoon,1,4,1200
Vrouw,"[60,70)",Autochtoon,2,0,1500
Vrouw,"[60,70)",Autochtoon,2,1,1100
Vrouw,"[60,70)",Autochtoon,2,2,1000
Vrouw,"[60,70)",Autochtoon,2,3,900
Vrouw,"[60,70)",Autochtoon,2,4,1300
Vrouw,"[60,70)",Autochtoon,3,0,1700
Vrouw,"[60,70)",Autochtoon,3,1,2000
Vrouw,"[60,70)",Autochtoon,3,2,1700
Vrouw,"[60,70)",Autochtoon,3,3,2100
Vrouw,"[60,70)",Autochtoon,3,4,2200
Vrouw,"[50,60)",Autochtoon,1,0,1000
Vrouw,"[50,60)",Autochtoon,1,1,800
Vrouw,"[50,60)",Autochtoon,1,2,800
Vrouw,"[50,60)",Autochtoon,1,3,800
Vrouw,"[50,60)",Autochtoon,1,4,700
Vrouw,"[50,60)",Autochtoon,2,0,1800
Vrouw,"[50,60)",Autochtoon,2,1,1500
Vrouw,"[50,60)",Autochtoon,2,2,1100
Vrouw,"[50,60)",Autochtoon,2,3,1300
Vrouw,"[50,60)",Autochtoon,2,4,2600
Vrouw,"[50,60)",Autochtoon,3,0,2000
Vrouw,"[50,60)",Autochtoon,3,1,2200
Vrouw,"[50,60)",Autochtoon,3,2,1800
Vrouw,"[50,60)",Autochtoon,3,3,3100
Vrouw,"[50,60)",Autochtoon,3,4,3700
Vrouw,"[20,30)",Turks,1,1,200
Vrouw,"[20,30)",Turks,1,2,600
Vrouw,"[20,30)",Turks,1,4,400
Vrouw,"[20,30)",Turks,2,0,400
Vrouw,"[20,30)",Turks,2,1,300
Vrouw,"[20,30)",Turks,2,2,500
Vrouw,"[20,30)",Turks,2,3,200
Vrouw,"[20,30)",Turks,2,4,400
Vrouw,"[20,30)",Turks,3,1,200
Vrouw,"[20,30)",Turks,3,2,100
Vrouw,"[20,30)",Turks,3,4,200
Man,"[40,50)",Overig,1,0,700
Man,"[40,50)",Overig,1,1,1000
Man,"[40,50)",Overig,1,2,1200
Man,"[40,50)",Overig,1,3,800
Man,"[40,50)",Overig,1,4,600
Man,"[40,50)",Overig,2,0,1800
Man,"[40,50)",Overig,2,1,1700
Man,"[40,50)",Overig,2,2,1100
Man,"[40,50)",Overig,2,3,1000
Man,"[40,50)",Overig,2,4,600
Man,"[40,50)",Overig,3,0,900
Man,"[40,50)",Overig,3,1,1900
Man,"[40,50)",Overig,3,2,1700
Man,"[40,50)",Overig,3,3,1900
Man,"[40,50)",Overig,3,4,3000
Vrouw,"[20,30)",Marokkaans,1,0,300
Vrouw,"[20,30)",Marokkaans,1,3,200
