n_communities,pref_attachment,strategy,network,threshold_idx,threshold_value,median_final_adoption
56.0,0.33,internal_density,geslacht,3,0.3,89.0
56.0,0.33,internal_density,lft,0,0.05,7990.0
56.0,0.33,internal_density,lft,1,0.13333333333333333,7990.0
56.0,0.33,internal_density,lft,2,0.21666666666666667,86.5
56.0,0.33,internal_density,lft,3,0.3,86.0
56.0,0.33,external_exposure_ratio,etngrp_geslacht_lft_oplniv,0,0.05,7964.5
56.0,0.33,external_exposure_ratio,etngrp_geslacht_lft_oplniv,1,0.13333333333333333,117.0
56.0,0.33,external_exposure_ratio,etngrp_geslacht_lft_oplniv,2,0.21666666666666667,91.0
56.0,0.33,external_exposure_ratio,etngrp_geslacht_lft_oplniv,3,0.3,88.0
56.0,0.33,external_exposure_ratio,geslacht,0,0.05,8597.0
56.0,0.33,external_exposure_ratio,geslacht,1,0.13333333333333333,102.0
56.0,0.33,external_exposure_ratio,geslacht,2,0.21666666666666667,86.0
56.0,0.33,external_exposure_ratio,geslacht,3,0.3,86.0
56.0,0.33,external_exposure_ratio,lft,0,0.05,7995.0
56.0,0.33,external_exposure_ratio,lft,1,0.13333333333333333,7995.0
56.0,0.33,external_exposure_ratio,lft,2,0.21666666666666667,133.0
56.0,0.33,external_exposure_ratio,lft,3,0.3,118.5
56.0,0.33,random,etngrp_geslacht_lft_oplniv,0,0.05,7966.0
56.0,0.33,random,etngrp_geslacht_lft_oplniv,1,0.13333333333333333,7963.5
56.0,0.33,random,etngrp_geslacht_lft_oplniv,2,0.21666666666666667,91.0
56.0,0.33,random,etngrp_geslacht_lft_oplniv,3,0.3,89.0
56.0,0.33,random,geslacht,0,0.05,8597.0
56.0,0.33,random,geslacht,1,0.13333333333333333,3608.0
56.0,0.33,random,geslacht,2,0.21666666666666667,89.0
56.0,0.33,random,geslacht,3,0.3,87.0
56.0,0.33,random,lft,0,0.05,7997.0
56.0,0.33,random,lft,1,0.13333333333333333,129.5
56.0,0.33,random,lft,2,0.21666666666666667,93.0
56.0,0.33,random,lft,3,0.3,92.0
56.0,0.33,size,etngrp_geslacht_lft_oplniv,0,0.05,7959.0
56.0,0.33,size,etngrp_geslacht_lft_oplniv,1,0.13333333333333333,7959.0
56.0,0.33,size,etngrp_geslacht_lft_oplniv,2,0.21666666666666667,7484.5
56.0,0.33,size,etngrp_geslacht_lft_oplniv,3,0.3,86.0
56.0,0.33,size,geslacht,0,0.05,8597.0
56.0,0.33,size,geslacht,1,0.13333333333333333,7750.0
56.0,0.33,size,geslacht,2,0.21666666666666667,97.0
56.0,0.33,size,geslacht,3,0.3,88.5
56.0,0.33,size,lft,0,0.05,7990.0
56.0,0.33,size,lft,1,0.13333333333333333,7990.0
56.0,0.33,size,lft,2,0.21666666666666667,87.0
56.0,0.33,size,lft,3,0.3,86.0
78.0,0.0,combined_score,etngrp_geslacht_lft_oplniv,0,0.05,7970.0
78.0,0.0,combined_score,etngrp_geslacht_lft_oplniv,1,0.13333333333333333,7966.0
78.0,0.0,combined_score,etngrp_geslacht_lft_oplniv,2,0.21666666666666667,90.0
78.0,0.0,combined_score,etngrp_geslacht_lft_oplniv,3,0.3,88.0
78.0,0.0,combined_score,geslacht,0,0.05,8601.0
78.0,0.0,combined_score,geslacht,1,0.13333333333333333,7723.0
78.0,0.0,combined_score,geslacht,2,0.21666666666666667,89.0
78.0,0.0,combined_score,geslacht,3,0.3,87.0
