n_communities,pref_attachment,strategy,network,threshold_idx,threshold_value,median_final_adoption
56.0,0.33,internal_density,lft,3,0.2,8.0
56.0,0.33,external_exposure_ratio,etngrp_geslacht_lft_oplniv,0,0.05,7959.0
56.0,0.33,external_exposure_ratio,etngrp_geslacht_lft_oplniv,1,0.1,18.0
56.0,0.33,external_exposure_ratio,etngrp_geslacht_lft_oplniv,2,0.15000000000000002,9.0
56.0,0.33,external_exposure_ratio,etngrp_geslacht_lft_oplniv,3,0.2,8.5
56.0,0.33,external_exposure_ratio,geslacht,0,0.05,8597.0
56.0,0.33,external_exposure_ratio,geslacht,1,0.1,8.0
56.0,0.33,external_exposure_ratio,geslacht,2,0.15000000000000002,8.0
56.0,0.33,external_exposure_ratio,geslacht,3,0.2,8.0
56.0,0.33,external_exposure_ratio,lft,0,0.05,7990.0
56.0,0.33,external_exposure_ratio,lft,1,0.1,7990.0
56.0,0.33,external_exposure_ratio,lft,2,0.15000000000000002,14.5
56.0,0.33,external_exposure_ratio,lft,3,0.2,13.5
56.0,0.33,random,etngrp_geslacht_lft_oplniv,0,0.05,7960.0
56.0,0.33,random,etngrp_geslacht_lft_oplniv,1,0.1,12.0
56.0,0.33,random,etngrp_geslacht_lft_oplniv,2,0.15000000000000002,8.0
56.0,0.33,random,etngrp_geslacht_lft_oplniv,3,0.2,8.5
56.0,0.33,random,geslacht,0,0.05,8597.0
56.0,0.33,random,geslacht,1,0.1,15.0
56.0,0.33,random,geslacht,2,0.15000000000000002,8.0
56.0,0.33,random,geslacht,3,0.2,8.0
56.0,0.33,random,lft,0,0.05,7990.5
56.0,0.33,random,lft,1,0.1,19.0
56.0,0.33,random,lft,2,0.15000000000000002,9.0
56.0,0.33,random,lft,3,0.2,9.0
56.0,0.33,size,etngrp_geslacht_lft_oplniv,0,0.05,7959.0
56.0,0.33,size,etngrp_geslacht_lft_oplniv,1,0.1,8.0
56.0,0.33,size,etngrp_geslacht_lft_oplniv,2,0.15000000000000002,8.0
56.0,0.33,size,etngrp_geslacht_lft_oplniv,3,0.2,8.0
56.0,0.33,size,geslacht,0,0.05,8597.0
56.0,0.33,size,geslacht,1,0.1,20.0
56.0,0.33,size,geslacht,2,0.15000000000000002,9.0
56.0,0.33,size,geslacht,3,0.2,8.0
56.0,0.33,size,lft,0,0.05,7990.0
56.0,0.33,size,lft,1,0.1,8.0
