aggregation_level,network_name,threshold,mean_outcome,between_sd,within_sd,total_sd,cv_between,cv_within,pct_structural,n_networks,n_structures,agg_numeric
0.0141277692850082,etngrp_geslacht_lft_oplniv,0.05,7366.15,485.9702871575586,2010.0954847718056,2068.006522692808,0.06597344435798329,0.27288277930422344,5.522244420234804,50,50,0.0141277692850082
0.0141277692850082,etngrp_geslacht_lft_oplniv,0.1333333333333333,6420.165999999998,1664.696133497532,2651.9668455506753,3131.1565541795626,0.2592917587329568,0.41306826732372276,28.26574111090493,50,50,0.0141277692850082
0.0141277692850082,etngrp_geslacht_lft_oplniv,0.2166666666666666,4476.796,1909.7007561513133,2958.1409154906733,3521.0161394042057,0.42657756934899715,0.660771881383622,29.41674451005092,50,50,0.0141277692850082
0.0141277692850082,etngrp_geslacht_lft_oplniv,0.3,267.803,563.6402766573804,599.8863942031024,823.1367124727266,2.1046824593353337,2.240028656150612,46.88782580222533,50,50,0.0141277692850082
0.0254284388227143,etngrp_geslacht_lft,0.05,7316.361999999999,448.92017523231476,2140.7609716406923,2187.3241326860116,0.061358387574632696,0.2925991048065545,4.2122288512085655,50,50,0.0254284388227143
0.0254284388227143,etngrp_geslacht_lft,0.1333333333333333,6287.983,1706.2866759939523,2767.4105182372205,3251.149826926543,0.2713567571658435,0.4401110051088275,27.544191602895403,50,50,0.0254284388227143
0.0254284388227143,etngrp_geslacht_lft,0.2166666666666666,3731.8980000000006,1788.150164617169,2627.9340673997135,3178.6032268624544,0.4791530113141272,0.7041816436032585,31.647203095689058,50,50,0.0254284388227143
0.0254284388227143,etngrp_geslacht_lft,0.3,335.25699999999995,597.6559639336916,837.7465146152506,1029.0830257931136,1.7826800452598803,2.4988188602035177,33.72886178174904,50,50,0.0254284388227143
0.0279140762948812,etngrp_lft_oplniv,0.05,7329.33,453.17123503738196,2128.9787312699955,2176.675126532507,0.06182983097191448,0.290473853854308,4.334484373886107,50,50,0.0279140762948812
0.0279140762948812,etngrp_lft_oplniv,0.1333333333333333,6523.179,1707.6360316354876,2562.913212098685,3079.6988406806595,0.26177972912217917,0.39289328287613834,30.744973344853488,50,50,0.0279140762948812
0.0279140762948812,etngrp_lft_oplniv,0.2166666666666666,4642.225,1865.0288331537663,2985.1789210782663,3519.8900180751243,0.40175321815589854,0.6430491673881094,28.074557066312284,50,50,0.0279140762948812
0.0279140762948812,etngrp_lft_oplniv,0.3,303.105,577.380655770665,708.9293735979629,914.3026186160483,1.9048866094939543,2.338890396390567,39.87902499215888,50,50,0.0279140762948812
0.0402535344785966,geslacht_lft_oplniv,0.05,7445.145,442.99052510367824,1896.88741277652,1947.9277353335347,0.05950059066729771,0.2547817957577079,5.1718175109045275,50,50,0.0402535344785966
0.0402535344785966,geslacht_lft_oplniv,0.1333333333333333,6687.669,1602.6266616468815,2430.5312002008945,2911.3388898875082,0.23963905235843483,0.3634347334177117,30.302551880560596,50,50,0.0402535344785966
0.0402535344785966,geslacht_lft_oplniv,0.2166666666666666,4239.351000000001,1944.9963628707926,2926.9358625104855,3514.2516123394767,0.45879578333353205,0.6904207418801805,30.631755126064057,50,50,0.0402535344785966
